fixed acidity,citric acid,residual sugar,free sulfur dioxide,sulphates,alcohol,quality
8.1,0.22,2.2,9,1.2,10.3,5
6.8,0.02,1.8,5,0.52,9.5,5
4.6,0.15,2.1,8,0.56,13.1,4
7.7,0.43,2.2,22,0.73,9.2,5
8.7,0.52,1.6,12,0.58,9.5,5
6.4,0.23,1.6,5,0.56,9.2,5
5.6,0.37,1.4,12,0.58,9.2,5
8.8,0.26,1.7,4,0.74,9.2,5
6.6,0.04,2.2,8,0.63,9.4,6
6.6,0.04,2.1,6,0.64,9.4,6
8.6,0.36,3,30,0.56,9.4,5
7.6,0.15,2.8,33,0.63,10.2,6
7.7,0.04,3.8,25,0.53,9.5,5
10.2,0.57,3.4,4,0.63,9.6,5
7.5,0.12,5.1,50,0.77,9.4,5
7.8,0.18,2.3,17,0.59,10,5
7.3,0.31,2.4,9,0.54,9.4,6
8.8,0.4,2.2,19,0.64,9.2,5
7.7,0.49,1.8,20,0.71,9.3,5
7.5,0.16,1.9,12,0.62,9.5,7
7,0.05,2,13,0.57,9.8,5
7.2,0.05,4.65,4,0.39,10.9,5
7.2,0.05,4.65,4,0.39,10.9,5
7.5,0.11,1.5,11,0.58,9.6,5
6.6,0.07,1.6,6,0.58,10.7,5
9.3,0.57,2,27,0.79,10.7,5
8,0.05,1.9,8,0.95,10.5,6
7.7,0.08,1.9,15,0.54,9.5,6
7.7,0.23,2.1,17,0.48,9.5,5
7.7,0.22,1.9,18,0.48,9.5,5
8.3,0.26,2.1,11,0.53,9.2,4
9.7,0.54,2.5,28,0.82,9.6,5
8.8,0.64,2.2,9,0.66,10.5,5
8.8,0.64,2.2,9,0.66,10.5,5
6.8,0,2.4,14,0.55,10.7,6
6.7,0.12,2,12,0.52,10.1,5
8.3,0.2,1.5,27,1.12,9.1,4
6.2,0.2,1.6,3,0.56,9.2,5
7.8,0.7,1.9,22,1.28,9.4,5
7.4,0.47,2,21,0.57,9.1,5
7.3,0.26,1.8,16,1.14,9.4,5
6.3,0.48,1.8,18,0.78,10.3,6
6.9,0.15,2.2,19,0.59,10.1,5
8.6,0.28,1.9,20,1.95,9.9,6
7.7,0.26,1.9,9,0.64,9.6,5
9.3,0.44,2.1,34,1.22,9.5,5
7,0.08,1.8,8,0.53,9,5
7.9,0.26,1.9,42,0.54,9.5,5
8.6,0.28,1.9,20,1.95,9.9,6
8.6,0.29,2,19,1.98,9.8,5
7.7,0.26,1.9,9,0.64,9.6,5
5,0.04,1.4,41,0.48,10.5,4
4.7,0.17,2.3,17,0.6,12.9,6
6.8,0,3,8,0.56,10.7,5
7,0.25,2,3,0.63,9.2,5
7.6,0.06,2.5,5,0.56,9.8,5
8.1,0.18,1.9,13,0.59,9,6
8.3,0.3,2.1,11,0.61,10.2,6
7.8,0.3,1.9,8,0.56,10.4,6
8.1,0.18,1.9,13,0.59,9,6
8.1,0.22,2.1,12,0.51,9.2,5
7.2,0.24,2.2,5,0.48,9.4,5
8.1,0.22,2.1,12,0.51,9.2,5
7.8,0.68,1.7,18,1.31,9.3,5
6.2,0.31,1.7,15,0.79,9.3,5
8,0.53,2.5,18,0.8,9.6,6
8.1,0.52,2,37,0.69,9.3,5
7.8,0.19,1.8,12,0.93,9.5,5
8.4,0.09,2.2,11,0.66,9.8,5
8.4,0.1,2.2,14,0.66,9.8,5
10.1,0.44,2.3,22,0.67,9.7,6
7.8,0.19,1.8,12,0.93,9.5,5
9.4,0.31,2.2,13,0.63,10.5,6
8.3,0.28,1.9,11,0.61,10,6
7.8,0.12,2,7,0.5,9.4,6
8.8,0.04,2.2,14,0.6,10.9,6
7,0.08,1.8,22,0.54,9.2,6
7.3,0.09,1.7,10,0.57,9,5
8.8,0.04,2.2,14,0.6,10.9,6
7.3,0,2.5,3,0.52,9.2,5
8,0,2.6,11,0.53,9.5,5
7.8,0.17,1.6,21,0.48,9.5,5
9,0.04,1.9,27,0.7,9.4,5
8.2,0,1.7,3,0.49,10.9,5
8.1,0,1.8,3,0.48,10.9,5
8,0.16,1.8,3,0.92,10.5,7
6.1,0.15,1.8,6,0.57,9.4,5
8,0.56,2,30,0.66,9.4,5
5.6,0.09,2.3,17,0.63,13,5
5.6,0.09,2.3,17,0.63,13,5
6.6,0.01,1.5,17,0.58,9.8,6
7.9,0.05,2.2,13,0.55,9.9,6
8.4,0.11,1.9,16,0.82,9.6,5
8.3,0.15,1.8,10,0.77,9.5,5
7.2,0.36,2,13,0.64,9.2,5
7.8,0.19,2.1,15,0.54,9.5,5
7.8,0.19,2,17,0.54,9.5,5
8.4,0.11,1.9,16,0.82,9.6,5
8.3,0.15,1.8,10,0.77,9.5,5
5.2,0,1.8,27,0.79,14,6
6.3,0.08,1.7,3,0.58,9.4,5
5.2,0,1.8,27,0.79,14,6
8.1,0.55,1.8,32,0.62,9.4,5
5.8,0.02,1.8,21,0.52,10,5
7.6,0.26,1.6,10,0.8,9.3,5
6.9,0.1,2.3,12,0.58,10.2,6
8.2,0.44,2.8,11,0.61,10.5,6
7.3,0.47,2.1,5,0.53,10.3,6
9.2,1,3.4,32,2,9.4,4
7.5,0.03,1.8,25,0.54,10.1,5
7.5,0.03,1.8,25,0.54,10.1,5
7.1,0.42,5.5,29,0.72,10.5,5
7.1,0.42,5.5,28,0.71,10.5,5
7.1,0.42,5.5,29,0.72,10.5,5
7.1,0.42,5.5,28,0.71,10.5,5
7.1,0,2.2,12,0.5,9.3,5
6.8,0.18,1.9,18,0.57,9.3,6
7.6,0.03,2,7,0.56,9.6,5
7.6,0.02,1.3,9,1.08,9.2,4
7.8,0.04,1.7,17,0.56,10,6
7.4,0.26,7.3,36,0.49,9.4,5
7.3,0.26,7.2,35,0.49,9.4,5
7.8,0.48,1.7,14,0.62,9.5,5
6.8,0.1,2.1,18,0.52,10.2,5
7.3,0.03,1.6,17,0.48,9,4
6.8,0.07,2.1,11,0.55,10.4,6
7.5,0.24,1.8,15,1.59,9.5,5
7.9,0.03,1.8,4,0.33,9.1,4
8,0.17,2,6,0.61,9.2,6
8,0.17,2,6,0.61,9.2,6
7.4,0.05,1.9,24,0.57,11.5,6
7.3,0.21,2,7,0.47,9.5,5
6.9,0.04,1.5,19,0.78,9.5,5
7.3,0.21,2,7,0.47,9.5,5
7.5,0.42,2.3,8,0.61,10.5,6
7,0,2.5,7,0.56,9.6,5
8.8,0.14,2.4,10,0.59,9.5,5
8.8,0.14,2.4,10,0.59,9.5,5
8.9,0.49,2,23,1.02,9.3,5
7.2,0.02,2.5,16,0.52,9.3,5
6.8,0.2,1.8,11,0.58,9.3,5
6.7,0.21,1.9,8,0.58,9.3,6
8.9,0.57,2,26,0.53,9.7,5
7.4,0.48,2,14,0.55,9.2,5
7.7,0.1,2.6,9,0.49,9.7,5
7.9,0.33,2,15,0.55,9.5,5
7.9,0.32,1.9,17,0.55,9.5,5
8.2,0.35,2.9,21,0.62,9.4,5
6.4,0.25,1.9,21,0.62,9.8,6
6.8,0.12,3.8,16,0.61,9.5,5
7.6,0.21,2.2,7,0.55,9.7,5
7.6,0.21,2.2,7,0.55,9.7,5
7.8,0.33,2,24,0.54,9.4,5
7.3,0.3,2.4,15,0.59,10.2,5
11.5,0.6,2,12,0.97,10.1,6
5.4,0.08,1.2,13,0.85,13,7
6.9,0.06,2.1,12,0.43,11.4,4
9.6,0.47,1.4,9,0.82,10.3,7
8.8,0.48,2.1,39,1.03,9.3,5
6.8,0.11,1.5,16,0.79,9.5,5
7,0.35,1.6,16,0.55,9.2,5
7,0.36,1.6,14,0.56,9.2,6
12.8,0.74,2.6,9,0.77,10.8,7
12.8,0.74,2.6,9,0.77,10.8,7
7.8,0.31,1.8,26,0.53,9.3,5
7.8,0.28,2.7,18,0.67,9.4,5
11,0.58,2.1,7,0.88,10.5,7
9.7,0.6,2,5,0.86,12.4,6
8,0.24,2.8,10,0.56,10,6
11.6,0.64,2.1,5,0.67,10.2,6
8.2,0.26,2.2,28,0.43,10.1,5
7.8,0.08,2.4,10,0.71,9.8,6
7,0.49,5.6,26,0.76,10.5,5
8.7,0.16,2,13,0.57,11,5
8.1,0.22,2.2,11,0.55,9.1,5
7.5,0.19,1.9,10,0.54,9.7,5
7.8,0.33,2.4,24,0.6,9.5,5
7.8,0.37,2,24,0.59,9.4,6
7.4,0.26,2,16,0.57,9.4,5
6.8,0.04,1.5,5,0.6,9.5,5
8.6,0.25,2,8,0.6,10,6
8.4,0.36,2,15,0.57,10.4,4
7.7,0.25,2.6,29,0.58,10.5,6
8.9,0.5,2,27,1.61,9.5,6
9,0.14,2.6,9,0.63,9.8,5
7.7,0.25,2.6,29,0.58,10.5,6
6.9,0.25,2.6,10,0.5,11,5
5.2,0.04,1.6,19,0.62,12.2,7
8,0.06,1.8,12,0.52,9.9,6
8.5,0.2,2.8,18,0.7,9.6,6
6.9,0.25,2.6,10,0.5,11,5
8.2,0.09,2.3,7,0.55,9,6
7.2,0,1.9,14,0.58,9,6
7.2,0,1.9,14,0.58,9,6
7.2,0,1.9,15,0.58,9.2,6
7.2,0,1.9,14,0.58,9,6
8.2,0.09,2.3,7,0.55,9,6
8.9,0.37,1.7,5,1.09,9.3,5
12,0.56,2.1,6,0.71,10.9,6
7.7,0.1,1.8,28,0.49,9.8,6
15,0.44,2.2,10,0.84,9.2,7
15,0.44,2.2,10,0.84,9.2,7
7.3,0,2,6,0.96,9.9,6
7.1,0.07,1.9,16,0.52,9.5,5
8.2,0.17,2.3,11,0.45,9.3,5
7.7,0.06,1.7,9,0.48,9.8,6
7.3,0,2,6,0.96,9.9,6
10.8,0.44,1.6,16,0.78,10,6
7.1,0,1.8,16,0.7,9.9,6
11.1,0.48,3.1,5,0.53,10.5,5
7.7,0.42,1.9,8,0.59,9.5,5
7.1,0,1.8,16,0.7,9.9,6
8,0.23,3.2,17,0.57,9.3,5
9.4,0.37,2.2,5,0.62,9.2,5
6.6,0,2.1,12,0.67,9.2,5
7.7,0.76,1.8,8,1.26,9.4,5
10,0.47,2.6,14,0.8,10.5,7
7.9,0.23,1.7,18,0.65,9.3,5
7,0.04,2,12,0.6,9.4,4
8,0.03,1.7,10,0.57,10,5
7.9,0.23,1.8,23,0.67,9.3,5
12.5,0.49,2.4,5,0.87,10.9,5
11.8,0.52,1.8,6,0.72,10.2,7
8.1,0,3.3,26,0.72,9.8,4
7.9,0.46,3.6,15,0.86,12.8,8
6.9,0.04,3,7,0.91,9.4,6
11.5,0.51,4,4,0.97,10.1,6
7.9,0.06,4,27,0.67,10.7,6
11.5,0.51,4,4,0.97,10.1,6
10.9,0.58,4,17,0.78,10.1,5
8.4,0.2,2.4,10,0.64,9.4,5
7.5,0.18,7,27,0.77,9.4,5
7.9,0.06,4,27,0.67,10.7,6
6.9,0.04,3,7,0.91,9.4,6
11.5,0.51,4,4,0.97,10.1,6
10.3,0.45,6.4,5,0.82,12.6,8
8.9,0.32,5.6,10,0.77,10.5,7
11.4,0.44,3.6,6,0.82,9.3,6
7.7,0.68,3.5,5,1.08,9.9,7
7.6,0.12,3,12,0.57,9.1,5
8.9,0.32,5.6,10,0.77,10.5,7
9.9,0.07,3.4,32,0.71,9.8,5
9.9,0.07,3.4,32,0.71,9.8,5
12,0.55,2,25,0.76,10.3,6
7.5,0.12,3,29,0.7,10.3,6
8.7,0.09,2.5,20,0.86,10.6,7
11.6,0.53,3.3,33,0.95,9.2,5
8.7,0.09,2.5,20,0.86,10.6,7
11,0.48,2,6,0.71,10.5,5
10.4,0.23,2.7,18,0.64,10.3,6
6.9,0.25,2.4,5,0.6,10.1,6
13.3,0.52,3.2,17,0.81,9.5,6
10.8,0.46,2.5,5,0.64,9.5,5
10.6,0.37,2.6,26,0.52,9.9,5
7.1,0.06,2,8,0.73,9.6,5
7.2,0.02,2.3,5,0.8,9.7,5
6.9,0.06,2.1,8,0.71,9.6,5
7.5,0.06,2.6,20,0.59,10.7,6
11.1,0.48,1.5,7,0.64,10.1,6
8.3,0.12,2.6,12,0.72,10,5
7.4,0.12,1.6,5,0.54,9.5,5
8.4,0.6,2.1,12,0.52,9.2,5
10.3,0.48,2.5,6,0.59,9.3,6
7.6,0.32,2.2,7,0.52,9.4,5
10.3,0.42,2.4,6,0.62,9.5,6
10.3,0.44,2.4,5,0.63,9.5,6
7.4,0.38,1.7,9,0.53,9.5,6
10.3,0.48,2.5,6,0.59,9.3,6
7.9,0.24,2,15,0.54,9.4,6
9,0.31,2.8,19,0.63,9.5,6
8.6,0.3,3,30,0.53,9.4,5
7.4,0.29,2.6,26,0.68,11,5
7.1,0.29,2.5,20,0.65,11,6
9.6,0.23,3.4,37,0.65,10.1,5
9.6,0.12,2.9,30,0.64,10.4,6
9.8,0.39,3.2,21,0.71,11.5,7
9.6,0.12,2.9,30,0.64,10.4,6
9.8,0.39,3.2,21,0.71,11.5,7
9.3,0.26,3.4,25,0.62,9.7,5
7.8,0.05,2.3,6,0.63,9.3,5
10.3,0.42,2.8,35,0.7,9.5,6
10,0.2,11,13,0.69,9.2,6
10,0.2,11,13,0.69,9.2,6
11.6,0.66,3.65,6,0.74,11.5,7
10.3,0.5,4.5,5,0.83,11.5,5
13.4,0.62,2.6,6,0.67,9.7,6
10.7,0.39,2,7,0.62,9.5,5
10.2,0.64,2.9,10,0.66,12.5,6
10.2,0.64,2.9,10,0.66,12.5,6
8,0.28,3.2,21,0.54,9.4,6
8.4,0.08,2.1,16,0.52,11,5
7.9,0.01,2.5,17,0.74,11.7,7
11.9,0.53,3.4,7,0.84,12.2,7
8.9,0.45,1.9,6,0.7,12.5,6
7.8,0.32,2.8,29,0.64,10.3,5
12.4,0.58,3,28,1,11.5,6
12.5,0.54,2.3,12,1.36,9.8,7
12.2,0.5,2.4,10,1.18,9.2,6
10.6,0.48,2.7,5,0.87,11.3,6
10.9,0.47,1.8,6,0.75,9.8,6
10.9,0.47,1.8,6,0.75,9.8,6
11.9,0.5,2.6,6,0.78,10.7,6
7,0,1.9,40,0.81,9.9,5
6.6,0.02,2.7,17,0.89,12.3,7
13.8,0.67,3,6,0.93,12,6
9.6,0.31,2.8,15,0.92,10,6
9.1,0,2.6,11,0.86,9.4,6
10.7,0.22,2.7,17,0.98,9.9,6
9.1,0,2.6,11,0.83,9.4,6
7.7,0,2.4,8,0.73,9.3,5
13.5,0.79,4.8,23,0.77,13,5
6.1,0.4,1.4,40.5,0.59,11.9,6
6.7,0.01,2.4,17,0.61,12.8,6
11.5,0.52,3,29,0.88,11,5
10.5,0.66,2.95,12,0.75,11.7,7
11.9,0.66,3.1,10,0.85,10.4,7
12.6,0.66,2.6,10,0.68,9.8,6
8.2,0.23,2,14,0.7,9.4,5
8.6,0.31,2.6,21,0.91,9.9,6
11.9,0.66,2.5,6,0.56,10,5
12.5,0.63,2,6,0.87,10.2,5
12.8,0.66,5.8,7,0.73,10,7
10,0.5,3.4,7,0.93,11.8,6
12.8,0.66,5.8,7,0.73,10,7
10.4,0.61,2.6,11,0.69,9,5
10.3,0.52,2.8,15,0.64,9.4,5
9.4,0.53,2.4,6,1.13,12,7
6.9,0.02,2.3,35,0.78,9.9,5
7.9,0.4,1.6,11,0.87,8.7,6
9.1,0.48,1.8,26,1.04,10.6,6
7.4,0.22,2.2,12,0.63,9.2,5
14,0.63,3.8,6,0.81,10.8,6
11.5,0.71,4.4,6,0.83,11.8,7
11.5,0.5,3,19,1.11,11,6
9.4,0.53,2.4,6,1.13,12,7
11.4,0.66,6.2,6,0.99,13.3,6
8.3,0.38,2.5,24,0.7,10.8,6
8.3,0.42,2,11,0.8,9.4,6
13.7,0.68,2.9,17,0.8,10,6
8.3,0.42,2,11,0.8,9.4,6
8.3,0.42,2,11,0.8,9.4,6
7.7,0.28,2.1,23,0.74,9.2,5
7.4,0.07,2.4,11,0.76,9.7,6
7.8,0.26,2,23,0.74,9.2,6
8.3,0.15,1.9,17,0.54,9.6,6
7.8,0.26,1.9,23,0.74,9.2,6
9.6,0.31,2.5,16,0.7,10,7
5.6,0.05,1.4,12,0.82,12.9,8
13.7,0.68,2.9,17,0.8,10,6
9.5,0.52,2,6,0.51,9.5,5
8.4,0.61,2,13,0.54,9.1,5
12.7,0.65,2.3,6,0.57,9.9,5
12,0.76,4.2,7,0.6,13,7
6.6,0.02,7.9,68,0.53,9.9,5
11.5,0.59,2.6,13,0.65,11,6
11.5,0.59,2.6,13,0.65,11,6
8.7,0.22,2.3,9,0.55,9.4,5
6.6,0.02,7.9,68,0.53,9.9,5
7.7,0.3,1.7,20,0.47,10.8,6
12.2,0.54,2.6,19,0.61,10.5,6
11.4,0.49,2.7,10,0.63,10.5,6
7.7,0.05,2.7,15,0.61,9.1,5
8.7,0.46,1.4,11,0.76,10.1,6
9.8,0.47,2.5,9,0.65,10.8,6
12,0.66,3,12,0.63,10.8,7
10.4,0.58,3.7,6,0.7,11.3,6
12.5,0.49,4.5,26,0.57,9.6,4
9,0.34,2.5,26,0.62,9.5,6
9.1,0.35,2.4,23,0.62,9.5,5
7.1,0.16,1.9,15,0.64,9.3,5
9.9,0.53,6.7,6,0.82,11.7,7
8.8,0.34,2.7,24,0.61,9.5,5
8.6,0.24,6.6,31,1.07,9.3,5
10.6,0.64,2.2,6,0.66,11.7,6
7,0.12,1.9,34,0.48,10.5,5
11.9,0.51,2,7,0.76,10.4,6
6.8,0,1.8,34,0.68,9.9,5
9.5,0.33,2.4,35,0.73,11.8,7
6.6,0.03,2.3,32,0.56,12.3,7
7.7,0.2,2,15,0.44,10.9,5
10.5,0.47,2.1,6,0.9,11,7
7.7,0.2,2,15,0.44,10.9,5
6.6,0.03,2.3,32,0.56,12.3,7
6.4,0.08,2.1,19,0.49,11.4,6
9.5,0.22,1.9,6,0.56,10.6,6
9.1,0.33,1.3,9,0.6,9.3,5
12.8,0.63,2.4,13,0.6,10.4,6
10.5,0.47,2.1,6,0.9,11,7
7.8,0.35,2.2,21,0.56,9.2,5
11.9,0.69,2.3,12,0.65,12.8,6
12.3,0.63,2.3,6,0.49,9.5,5
10.4,0.55,3.2,22,0.89,9.9,6
12.3,0.63,2.3,6,0.49,9.5,5
8,0.3,2,38,0.56,10.2,6
11.1,0.73,3.2,6,0.66,11.2,6
10.4,0.55,3.2,22,0.89,9.9,6
7,0.18,1.5,7,0.6,9.3,5
12.6,0.72,2.2,6,0.82,9.8,8
11.9,0.65,2.15,7,0.68,11.3,6
15.6,0.76,3.7,6,0.68,11.2,7
10,0.49,2.7,11,0.63,11.6,7
5.3,0.01,1.7,5,0.84,12.5,7
9.5,0.1,2.1,6,0.56,10.1,6
12.5,0.6,2.6,31,0.73,10.5,5
9.3,0.29,2.1,6,0.72,11.2,5
8.6,0.22,2,7,0.56,10.2,6
11.9,0.69,2.8,17,0.61,10.8,6
11.9,0.69,2.8,17,0.61,10.8,6
8.4,0.53,1.8,9,1.06,9.1,6
6.8,0.03,1.7,18,0.63,10,6
10.4,0.63,2.8,5,0.74,11.2,7
7,0.4,1.6,21,0.63,11.1,5
11.3,0.67,5.2,6,0.69,13.4,8
8.9,0.39,2.3,5,0.58,10.3,5
9.2,0.21,2.7,29,0.58,9.6,5
10.4,0.63,2.8,5,0.74,11.2,7
11.6,0.66,2.2,10,0.57,9,3
9.2,0.52,2.3,14,0.61,11.3,6
8.3,0.22,2.6,6,0.61,9.3,5
11,0.68,2.55,10,0.61,11.8,5
8.1,0.7,2.2,25,0.53,9,5
11.5,0.54,2.1,5,0.7,9.2,6
10,0.4,2.9,10,0.91,9.7,5
10.3,0.42,2,21,0.72,11.5,6
8.8,0.45,2.6,7,0.79,14,6
11.4,0.69,2.1,6,0.62,9.2,6
8.7,0.02,1.2,36,0.58,9.8,5
13,0.65,2.6,15,0.61,10.6,5
9.6,0.42,2.4,25,0.71,11.4,6
12.5,0.55,2.6,25,0.82,10.4,6
9.9,0.55,2.1,5,0.79,10.6,5
10.5,0.51,1.7,10,0.89,9.4,6
9.6,0.24,2.2,5,0.6,10.2,5
9.3,0.41,2,6,0.7,9.7,5
10.4,0.49,1.8,6,1.06,11,6
9.6,0.24,2.2,5,0.6,10.2,5
9.4,0.11,2.7,6,0.7,10.1,6
10.6,0.39,15.5,6,0.66,9.2,5
9.4,0.56,2.8,6,0.92,11.7,8
10.6,0.59,2.2,6,1.05,9.4,5
10.6,0.6,2.2,7,1.06,9.4,5
10.6,0.68,4.1,6,0.66,13.4,6
10.2,0.39,1.9,6,0.47,10,5
10.2,0.39,1.9,6,0.47,10,5
10.2,0.36,1.8,5,0.42,10,6
11.6,0.55,2.8,35,0.92,10.8,7
9.3,0.4,2.6,10,0.75,10.2,6
9.3,0.27,2.8,24,0.67,10.6,6
9.2,0.5,2.5,12,0.79,13.3,7
8.9,0.51,2.6,13,0.9,13.4,7
8.7,0.31,3,23,0.74,11.6,6
6.5,0.23,8.3,28,0.55,12.1,6
10.7,0.53,2.6,5,0.65,11,8
7.8,0.25,1.9,14,0.65,9,6
7.2,0.32,2.5,43,0.79,11.1,5
10.7,0.53,2.6,5,0.65,11,8
8.7,0.31,3,23,0.74,11.6,6
7.8,0.25,1.9,14,0.65,9,6
10.4,0.73,6.55,38,0.85,12,7
10.4,0.73,6.55,38,0.85,12,7
10.5,0.47,1.9,6,1.04,10.9,7
10.5,0.42,1.8,6,1.05,10.8,7
10.2,0.63,2.9,10,0.78,12.5,7
10.4,0.46,1.8,6,1.02,10.8,7
11.2,0.55,2.3,6,0.71,9.5,6
10,0.31,2.2,26,0.63,10.2,6
13.3,0.75,2.8,23,0.68,11.4,7
12.4,0.49,4.6,19,0.61,9.5,5
10,0.31,2.2,26,0.63,10.2,6
10.7,0.48,2.1,15,0.81,9.7,6
10.5,0.64,2.4,6,0.66,11.8,7
10.5,0.64,2.4,6,0.66,11.8,7
8.5,0.49,6.1,34,1.14,9.3,5
12.5,0.49,4.3,5,0.74,11.9,6
10.4,0.49,2.1,5,0.63,8.4,3
10.9,0.49,2.8,11,0.68,11.7,6
7.3,0.49,2.5,39,0.78,11,5
9.8,0.49,2.7,15,0.9,10,6
7.6,0.49,2,16,0.64,9.1,5
8.2,0.49,2.3,47,0.99,9.8,5
9.3,0.49,2.5,38,0.55,9.4,5
9.2,0.49,2.4,23,0.64,9.5,5
10.4,0.24,2.8,29,0.67,9.9,5
7.3,0.49,2.5,39,0.78,11,5
7,0.49,2.5,33,0.77,11.4,6
8.2,0.49,2.6,32,0.75,8.7,6
9.9,0.24,2.4,6,0.57,9.4,5
9.1,0.24,2.1,1,0.87,10.3,6
11.9,0.49,2.7,12,0.61,10.3,5
11.9,0.49,2.7,12,0.61,10.3,5
10.3,0.24,2.1,15,0.66,12.8,6
10,0.24,2.7,13,0.56,10,6
9.1,0.24,2.1,1,0.87,10.3,6
9.9,0.24,2.4,6,0.57,9.4,5
8.1,0.24,2.1,5,0.77,10.7,6
12.9,0.49,5.8,5,0.66,12,7
11.2,0.74,5.15,5,0.62,11.2,5
9.2,0.24,3.3,20,0.67,9.6,5
9.5,0.49,6.3,5,0.73,11,6
9.3,0.24,2.1,5,0.59,9.9,5
11.2,0.24,2.5,16,0.72,11,6
14.3,0.74,1.8,6,0.79,8.4,6
9.1,0.49,2.6,38,0.59,9.1,5
7.5,0.24,2,10,0.78,9.5,6
10.6,0.49,2.5,6,0.86,10.7,6
12.4,0.49,2.6,27,0.75,10.4,6
9,0.49,1.9,6,0.61,9.4,6
6.8,0.01,2.1,9,0.56,9.5,6
9.4,0.24,2.8,14,0.73,10,6
9.5,0.24,2.7,14,0.74,10,6
5,0.24,1.6,32,0.62,11.5,5
15.5,0.49,4.2,10,0.74,11.1,5
15.5,0.49,4.2,10,0.74,11.1,5
10.9,0.49,4.6,10,0.56,11.7,6
15.6,0.49,4.2,10,0.74,11.1,5
10.9,0.49,4.6,10,0.56,11.7,6
13,0.49,4.3,6,0.68,12.7,6
12.7,0.49,2.8,5,0.57,11.4,5
9,0.49,2.4,26,0.58,9.2,5
9,0.49,2.9,41,0.61,9.2,5
7.6,0.49,2.7,25,0.61,10.1,6
13,0.49,4.3,6,0.68,12.7,6
12.7,0.49,2.8,5,0.57,11.4,5
8.7,0.24,2.5,5,0.6,9,6
8.7,0.24,2.5,5,0.6,9,6
9.8,0.49,2.6,5,0.79,10.7,6
6.2,0.24,2.2,19,0.57,11.7,6
11.5,0.49,3.3,10,0.91,11,6
6.2,0.24,2.2,19,0.57,11.7,6
10.2,0.49,2.4,10,0.61,10.4,5
10.5,0.49,2.1,14,0.56,9.6,4
10.6,0.49,3.2,20,0.7,10,6
12.3,0.49,3.1,28,0.8,10.2,6
9.9,0.24,2.3,6,0.52,10,4
8.8,0.49,2.8,18,0.6,9.5,5
8.8,0.49,2.9,17,0.6,9.8,5
10.6,0.49,2.2,18,0.51,9.8,6
12.3,0.49,2.2,5,0.44,9.6,5
12.3,0.49,2.2,5,0.44,9.6,5
11.7,0.49,2.2,5,0.43,9.2,5
12,0.49,1.9,10,0.66,9.9,7
11.8,0.49,3.4,54,0.76,10.7,7
7.6,0.24,2.4,8,0.66,9.6,6
11.1,0.49,2.7,16,1.02,10.6,7
7.3,0.24,1.9,18,0.59,9.3,5
5,0.24,2,19,0.74,14,8
10.2,0.49,2.6,5,0.74,10.5,7
9,0.49,2.6,21,0.57,9.7,5
6.6,0.49,1.7,23,0.5,11.5,6
9,0.49,2.6,21,0.57,9.7,5
9.9,0.58,3.5,9,0.58,9,5
7.9,0.17,2.6,20,0.53,9.5,5
8.9,0.41,7.9,30,0.57,9.3,5
12.4,0.51,2,6,0.6,9.3,6
11.9,0.58,1.9,5,0.63,10,6
8.5,0.18,2.1,5,0.48,9.8,6
12.7,0.45,2.3,11,0.7,9.3,6
8.2,0.27,2.1,7,0.47,10,4
