OID,ELE_NS,ELE_NAME,LABEL_ZH,LABEL_EN,LABEL_TYPE,ELE_TYPE,ELE_SUBGROUP,ELE_BALANCE,ELE_PERIOD,ELE_ISABSTRACT,ELE_ISNILL
153876,c-ross,EquityPriceRiskHeldByLookThroughMethodPreferredSharesPubliclyIssuedByListedCompanyLineNumberAxis,权益价格风险，穿透法还原后持有的，上市公司公开发行的优先股，行次 [axis],"Equity price risk, held by look through method, preferred shares publicly issued by listed company, line number [axis]",标准标签,xbrli:stringItemType,xbrldt:dimensionItem,,duration,TRUE,TRUE
153880,c-ross,NonLifeReinsuranceBusinessProportionalCreditGuaranteeReinsuranceMember,非寿险再保险业务，比例信用保证险 [member],"Non-life reinsurance business, proportional credit guarantee reinsurance [member]",标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
153889,c-ross,CapitalInstrumentLiquidationOrder,资本工具清偿顺序,"Capital instrument, liquidation order",标准标签,xbrli:stringItemType,xbrli:item,,instant,FALSE,TRUE
153890,c-ross,InterestRateRiskOfReinsuranceCompanyAbstract,MR02-再保险公司利率风险 [abstract],MR02-Interest rate risk of reinsurance company [abstract],标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
153898,c-ross,StressScenarioForSelfTestTwoMember,自测压力情景二 [member],Stress scenario for self-test two [member],标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
153908,c-ross,CounterpartyDefaultRiskOtherReceivablesAndPrepaymentsTable,交易对手违约风险，其他应收及预付款项 [table],"Counterparty default risk, other receivables and prepayments [table]",标准标签,xbrli:stringItemType,xbrldt:hypercubeItem,,duration,TRUE,TRUE
153925,c-ross,EquityPriceRiskSecuritiesInvestmentFundHeldByLookThroughMethodGeneralBondFundAbstract,MR13-权益价格风险，穿透法还原后持有的证券投资基金，普通债券基金 [abstract],"MR13-Equity price risk, securities investment fund held by look through method, general bond fund [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
153930,c-ross,CounterpartyDefaultRiskAssetManagementProductsBaseRiskFactor,交易对手违约风险，资产管理产品，基础因子,"Counterparty default risk, asset management products, base risk factor",标准标签,xbrli:pureItemType,xbrli:item,,instant,FALSE,TRUE
153935,c-ross,LiquidityRiskProjectOnCashOutflowsFromFinancingActivitiesInNextQuarterConversionCoefficient,流动性风险，未来一个季度内的筹资活动现金流出预测，折算系数,"Liquidity risk, project on cash outflows from financing activities in next quarter, conversion coefficient",标准标签,xbrli:pureItemType,xbrli:item,,instant,FALSE,TRUE
153938,c-ross,EquityPriceRiskAssetManagementProductsRiskExposure,权益价格风险，资产管理产品，风险暴露,"Equity price risk, asset management products, risk exposure",标准标签,xbrli:monetaryItemType,xbrli:item,,instant,FALSE,TRUE
153942,c-ross,LiquidityRiskProjectOnCashFlowsOtherCashPaymentRelatingToInvestingActivities,流动性风险，现金流预测，支付其他与投资活动有关的现金,"Liquidity risk, project on cash flows, other cash payment relating to investing activities",标准标签,xbrli:monetaryItemType,xbrli:item,credit,instant,FALSE,TRUE
153946,c-ross,AdditionalTierOneCapitalInstrumentsSuchAsSubordinatedBondsAndHybridBondsIssuedByBankWithCapitalAdequacyRatiosAtAllTiersEntirelyMeetingRegulatoryRequirementsMember,各级资本充足率全部达到监管要求的银行，发行的次级债、混合资本债等其他一级资本工具 [member],"Additional tier one capital instruments such as subordinated bonds and hybrid bonds issued by bank, with capital adequacy ratios at all tiers entirely meeting regulatory requirements [member]",标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
153957,c-ross,LiquidityRiskProjectOnCashOutflowsFromOperatingActivitiesBusinessInNextQuarterAmountAfterConversion,流动性风险，未来一个季度内的经营活动（业务）现金流出预测，折算后金额,"Liquidity risk, project on cash outflows from operating activities (business) in next quarter, amount after conversion",标准标签,xbrli:monetaryItemType,xbrli:item,credit,instant,FALSE,TRUE
153961,c-ross,EquityPriceRiskTypesOfPreferredSharesAxis,权益价格风险，优先股类型 [axis],"Equity price risk, types of preferred shares [axis]",标准标签,xbrli:stringItemType,xbrldt:dimensionItem,,duration,TRUE,TRUE
153976,c-ross,CounterpartyDefaultRiskWealthManagementProductsOfCommercialBankLineItems,交易对手违约风险，商业银行理财产品 [line items],"Counterparty default risk, wealth management products of commercial bank [line items]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154000,c-ross,EquityPriceRiskSecuritiesInvestmentFundHeldByLookThroughMethodAbstract,MR13-权益价格风险，穿透法还原后持有的证券投资基金 [abstract],"MR13-Equity price risk, securities investment fund held by look through method [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154004,c-ross,ExchangeRateRiskOfProjectsForeignExchangeForwardAssetsLiabilitiesIneffectivelyHedgedDetailsTable,汇率风险所涉项目明细表，无效套保外汇远期资产（负债） [table],"Exchange rate risk of projects, foreign exchange forward assets (liabilities) ineffectively hedged, details [table]",标准标签,xbrli:stringItemType,xbrldt:hypercubeItem,,duration,TRUE,TRUE
154005,c-ross,LiquidityRiskNegotiatedDepositsAvailableForEarlyWithdrawal,流动性风险，可提前支取的协议存款,"Liquidity risk, negotiated deposits available for early withdrawal",标准标签,xbrli:monetaryItemType,xbrli:item,debit,instant,FALSE,TRUE
154006,c-ross,TraditionalInsuranceBusinessMember,传统保险业务 [member],Traditional insurance business [member],标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
154008,c-ross,MinimumCapitalUnderSolvencyII,偿二代下最低资本,Minimum capital under Solvency II,标准标签,xbrli:monetaryItemType,xbrli:item,,instant,FALSE,TRUE
154011,c-ross,AdditionalTierOneCapitalInstrumentsSuchAsSubordinatedBondsAndHybridBondsIssuedByOtherCommercialBankWithCapitalAdequacyRatiosAtAllTiersEntirelyMeetingRegulatoryRequirementsMember,各级资本充足率全部达到监管要求的其他商业银行，发行的次级债、混合资本债等其他一级资本工具 [member],"Additional tier one capital instruments such as subordinated bonds and hybrid bonds issued by other commercial bank, with capital adequacy ratios at all tiers entirely meeting regulatory requirements [member]",标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
154015,c-ross,PreferredSharesIssuedByNonListedPublicCommercialBankWithTermsOnObligatoryConversionToCommonStockMember,非上市公众公司中商业银行发行的，带有强制转换为普通股条款的优先股 [member],"Preferred shares issued by non-listed public commercial bank, with terms on obligatory conversion to common stock [member]",标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
154017,c-ross,CoreSolvencyAdequacyRatioQuarterlyBriefing,核心偿付能力充足率，季度快报,"Core solvency adequacy ratio, quarterly briefing",标准标签,num:percentItemType,xbrli:item,,instant,FALSE,TRUE
154019,c-ross,LiquidityRiskProjectOnCashOutflowsFromFinancingActivitiesInNextQuarterAmountAfterConversion,流动性风险，未来一个季度内的筹资活动现金流出预测，折算后金额,"Liquidity risk, project on cash outflows from financing activities in next quarter, amount after conversion",标准标签,xbrli:monetaryItemType,xbrli:item,credit,instant,FALSE,TRUE
154024,c-ross,IncludingGuaranteesTermsMember,包括保证条款 [member],Including guarantees terms [member],标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
154036,c-ross,LiquidityRiskContractualUndiscountedCashFlowsOfFinancialBonds,流动性风险，金融债未折现的合同现金流量,"Liquidity risk, contractual undiscounted cash flows of financial bonds",标准标签,xbrli:monetaryItemType,xbrli:item,debit,instant,FALSE,TRUE
154039,c-ross,EquityPriceRiskHeldByLookThroughMethodPreferredSharesIssuedByNonListedPublicCommercialBankWithCapitalAdequacyRatiosAtAllTiersNotEntirelyMeetingRegulatoryRequirementsWithTermsOnObligatoryConversionToCommonStockAbstract,MR21-权益价格风险，穿透法还原后持有的，非上市公众公司中各级资本充足率未全部达到监管要求的商业银行发行的，带有强制转换为普通股条款的优先股 [abstract],"MR21-Equity price risk, held by look through method, preferred shares issued by non-listed public commercial bank with capital adequacy ratios at all tiers not entirely meeting regulatory requirements, with terms on obligatory conversion to common stock [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154042,c-ross,InterestRateRiskInterestRateDerivativesGovernmentBondFuturesUnqualifiedHedgingLineItems,利率风险，利率类金融衍生品，国债期货（不符合条件套保） [line items],"Interest rate risk, interest rate derivatives, government bond futures (unqualified hedging) [line items]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154044,c-ross,NonLifeReinsuranceBusinessProportionalMarineAndHullCargoAndSpecialRiskReinsuranceMember,非寿险再保险业务，比例船货特险 [member],"Non-life reinsurance business, proportional marine and hull, cargo and special risk reinsurance [member]",标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
154046,c-ross,CompanysEnglishName,公司英文名称,Company's English name,标准标签,xbrli:stringItemType,xbrli:item,,duration,FALSE,TRUE
154054,c-ross,CounterpartyDefaultRiskWealthManagementProductsOfCommercialBankTypesOfAssetsMember,交易对手违约风险，商业银行理财产品的资产类别 [member],"Counterparty default risk, wealth management products of commercial bank, types of assets [member]",标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
154055,c-ross,EquityPriceRiskHeldByLookThroughMethodPreferredSharesIssuedByOtherNonListedPublicCommercialBankWithCapitalAdequacyRatiosAtAllTiersEntirelyMeetingRegulatoryRequirementsWithTermsOnObligatoryConversionToCommonStockLineNumberAxis,权益价格风险，穿透法还原后持有的，非上市公众公司中各级资本充足率全部达到监管要求的其他商业银行发行的，带有强制转换为普通股条款的优先股，行次 [axis],"Equity price risk, held by look through method, preferred shares issued by other non-listed public commercial bank with capital adequacy ratios at all tiers entirely meeting regulatory requirements, with terms on obligatory conversion to common stock, line number [axis]",标准标签,xbrli:stringItemType,xbrldt:dimensionItem,,duration,TRUE,TRUE
154057,c-ross,ContactPersonsMobilePhoneNumberQuarterlyBriefing,联系人移动电话，季度快报,"Contact person's mobile phone number, quarterly briefing",标准标签,xbrli:stringItemType,xbrli:item,,duration,FALSE,TRUE
154063,c-ross,LiquidityRiskProjectOnCashFlowsCashPaidForRepaymentOfDebts,流动性风险，现金流预测，偿还债务支付的现金,"Liquidity risk, project on cash flows, cash paid for repayment of debts",标准标签,xbrli:monetaryItemType,xbrli:item,credit,instant,FALSE,TRUE
154065,c-ross,MajorClaimEventsThatOccurredDuringReportingPeriodOnlyApplicableForPropertyAndCasualtyInsuranceCompanyExplanatory,报告期内重大赔付事项（仅适用于财产保险公司） [text block],Major claim events that occurred during reporting period (only applicable for property and casualty insurance company) [text block],标准标签,nonnum:textBlockItemType,xbrli:item,,duration,FALSE,TRUE
154075,c-ross,OutstandingBenefitsReserveOfLifeInsuranceContractUnderSolvencyIITimeValueOfOptionsAndGuarantees,偿二代下寿险合同未到期责任准备金，选择权及保证利益的时间价值,"Outstanding benefits reserve of life insurance contract under Solvency II, time value of options and guarantees",标准标签,xbrli:monetaryItemType,xbrli:item,credit,instant,FALSE,TRUE
154081,c-ross,EquityPriceRiskHeldByCompanyDirectlyPreferredSharesIssuedByNonListedPublicBankOrInsuranceCompanyWithoutTermsOnObligatoryConversionToCommonStockOrIssuedByNonListedPublicNonBankingOrNonInsuranceCompanyLineNumberAxis,权益价格风险，公司直接持有的，非上市公众公司中银行、保险公司发行的不带强制转换为普通股条款的或者非银行、非保险机构发行的优先股，行次 [axis],"Equity price risk, held by company directly, preferred shares issued by non-listed public bank or insurance company, without terms on obligatory conversion to common stock, or issued by non-listed public non-banking or non-insurance company, line number [axis]",标准标签,xbrli:stringItemType,xbrldt:dimensionItem,,duration,TRUE,TRUE
154084,c-ross,FeeAndCommissionsIncomePayableUnderSolvencyII,偿二代下应付手续费及佣金,Fee and commissions income payable under Solvency II,标准标签,xbrli:monetaryItemType,xbrli:item,credit,instant,FALSE,TRUE
154097,c-ross,OutstandingLossReserveWhichIsOccurredButNotReportedUnderSolvencyII,偿二代下已发生未报案未决赔款准备金,Outstanding loss reserve which is occurred but not reported under Solvency II,标准标签,xbrli:monetaryItemType,xbrli:item,credit,instant,FALSE,TRUE
154105,c-ross,CommercialBankWithCapitalAdequacyRatiosAtAllTiersNotEntirelyMeetingRegulatoryRequirementsStructuredDepositsWithGuaranteedPrincipalsByBanksInCaseOfEarlyWithdrawalMember,各级资本充足率未全部达到监管要求的商业银行，提前支取时银行保证本金的结构性存款 [member],"Commercial bank with capital adequacy ratios at all tiers not entirely meeting regulatory requirements, structured deposits with guaranteed principals by banks in case of early withdrawal [member]",标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
154112,c-ross,LongTermEquityInvestmentsInJointVenturesAndAssociatedCompaniesMember,对合营企业和联营企业的长期股权投资 [member],Long-term equity investments in joint ventures and associated companies [member],标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
154113,c-ross,EquityPriceRiskUnlistedEquityInvestmentPlansMinimumCapital,权益价格风险，未上市股权投资计划，最低资本,"Equity price risk, unlisted equity investment plans, minimum capital",标准标签,xbrli:monetaryItemType,xbrli:item,,instant,FALSE,TRUE
154128,c-ross,CounterpartyDefaultRiskProjectAssetBackedPlansAdmittedValue,交易对手违约风险，项目资产支持计划，认可价值,"Counterparty default risk, project asset-backed plans, admitted value",标准标签,xbrli:monetaryItemType,xbrli:item,debit,instant,FALSE,TRUE
154136,c-ross,LiquidityRiskProjectOnCashFlowsRepurchaseOfFinancialAssets,流动性风险，现金流预测，筹资现金流，回购金融资产,"Liquidity risk, project on cash flows, repurchase of financial assets",标准标签,xbrli:monetaryItemType,xbrli:item,credit,instant,FALSE,TRUE
154137,c-ross,DepositsFromCedentsUnderSolvencyII,偿二代下存入分保保证金,Deposits from cedents under Solvency II,标准标签,xbrli:monetaryItemType,xbrli:item,credit,instant,FALSE,TRUE
154147,c-ross,TrustAssetsUnderSolvencyIIMember,偿二代下信托资产 [member],Trust assets under Solvency II [member],标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
154151,c-ross,InterestRateRiskAssetSecuritizationProductsSpecialAssetManagementPlansOfSecuritiesCompanyHeldByCompanyDirectlyAbstract,MR04-利率风险，资产证券化产品，公司直接持有的证券公司专项管理计划 [abstract],"MR04-Interest rate risk, asset securitization products, special asset management plans of securities company held by company directly [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154154,c-ross,PreferredSharesNonPubliclyIssuedByListedBankOrInsuranceCompanyWithTermsOnObligatoryConversionToCommonStockMember,上市公司中银行、保险公司非公开发行的，带有强制转换为普通股条款的优先股 [member],"Preferred shares non-publicly issued by listed bank or insurance company, with terms on obligatory conversion to common stock [member]",标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
154157,c-ross,EquityPriceRiskStockQualifiedHedgingMinimumCapitalOfHedgedStockPortfolio,权益价格风险，股票（符合条件的套期保值），套保组合中股票的最低资本,"Equity price risk, stock (qualified hedging), minimum capital of hedged stock portfolio",标准标签,xbrli:monetaryItemType,xbrli:item,,instant,FALSE,TRUE
154160,c-ross,InsuranceRiskOfNonLifeReinsuranceBusinessOfReinsuranceCompanyCatastropheRiskAbstract,IR04-再保险公司非寿险再保险业务保险风险，巨灾风险 [abstract],"IR04-Insurance risk of non-life reinsurance business of reinsurance company, catastrophe risk [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154164,c-ross,EquityPriceRiskStockQualifiedHedgingContractualValueOfShortPositionOfStockIndexFutures,权益价格风险，股票（符合条件的套期保值），股指期货空头合约价值,"Equity price risk, stock (qualified hedging), contractual value of short position of stock index futures",标准标签,xbrli:monetaryItemType,xbrli:item,,instant,FALSE,TRUE
154166,c-ross,InterestRateRiskInterestRateDerivativesInterestRateSwapsHeldByCompanyDirectlyAbstract,MR05-利率风险，利率类金融衍生品，公司直接持有的利率互换 [abstract],"MR05-Interest rate risk, interest rate derivatives, interest rate swaps held by company directly [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154169,c-ross,OverseasAssetPriceRiskOverseasEquityInvestmentAssetsAssetName,境外资产价格风险，境外权益类资产，资产名称,"Overseas asset price risk, overseas equity investment assets, asset name",标准标签,xbrli:stringItemType,xbrli:item,,instant,FALSE,TRUE
154178,c-ross,LiquidityCoverageRatioTestScopeAxis,流动性覆盖率测试范围 [axis],Liquidity coverage ratio test scope [axis],标准标签,xbrli:stringItemType,xbrldt:dimensionItem,,duration,TRUE,TRUE
154180,c-ross,TypesOfInfrastructureInvestmentPlansMember,基础设施投资计划类型 [member],Types of infrastructure investment plans [member],标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
154189,c-ross,LiquidityRiskProjectOnCashInflowsInNextQuarterAmountAfterConversion,流动性风险，未来一个季度内的现金流入预测，折算后金额,"Liquidity risk, project on cash inflows in next quarter, amount after conversion",标准标签,xbrli:monetaryItemType,xbrli:item,debit,instant,FALSE,TRUE
154196,c-ross,TableOfCapitalInstrumentLineItems,资本工具表 [line items],Table of capital instrument [line items],标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154200,c-ross,CounterpartyDefaultRiskOutwardReinsuranceAssetsRiskFactorOne,交易对手违约风险，分出业务再保险资产，特征系数一,"Counterparty default risk, outward reinsurance assets, risk factor one",标准标签,xbrli:pureItemType,xbrli:item,,instant,FALSE,TRUE
154210,c-ross,ExchangeRateRiskForeignCurrencyDenominatedAssetsLiabilitiesUnhedgedOrIneffectivelyHedgedForeignCurrencyItemsDenominatedInOtherForeignCurrenciesHeldByCompanyDirectlyLineNumberAxis,汇率风险，未套保及套保无效的外汇资产（负债），公司直接持有的以其他货币计价的外币项目，行次 [axis],"Exchange rate risk, foreign currency-denominated assets (liabilities) unhedged or ineffectively hedged, foreign currency items denominated in other foreign currencies held by company directly, line number [axis]",标准标签,xbrli:stringItemType,xbrldt:dimensionItem,,duration,TRUE,TRUE
154219,c-ross,CounterpartyDefaultRiskEnterpriseBondsCorporateBondsAbstract,CR05-交易对手违约风险，企业债、公司债 [abstract],"CR05-Counterparty default risk, enterprise bonds, corporate bonds [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154224,c-ross,CounterpartyDefaultRiskAssetManagementProductsCreditRatingsForAssets,交易对手违约风险，资产管理产品，资产的信用评级,"Counterparty default risk, asset management products, credit ratings for assets",标准标签,sti:creditRatingItemType,xbrli:item,,instant,FALSE,TRUE
154226,c-ross,InterestRateRiskAssetSecuritizationProductsProductName,利率风险，资产证券化产品，产品名称,"Interest rate risk, asset securitization products, product name",标准标签,xbrli:stringItemType,xbrli:item,,instant,FALSE,TRUE
154236,c-ross,EquityPriceRiskHybridAssetManagementProductsCannotBeLookedThroughLineNumberAxis,权益价格风险，无法穿透的资产管理产品，混合类，行次 [axis],"Equity price risk, hybrid asset management products cannot be looked through, line number [axis]",标准标签,xbrli:stringItemType,xbrldt:dimensionItem,,duration,TRUE,TRUE
154237,c-ross,TableOfCapitalInstrumentSupplementaryTierOneCapitalInstrumentAbstract,AC01-资本工具表，附属一级资本工具 [abstract],"AC01-Table of capital instrument, supplementary tier one capital instrument [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154243,c-ross,UniversalInsuranceBusinessMember,万能保险业务 [member],Universal insurance business [member],标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
154248,c-ross,EquityPriceRiskHeldByCompanyDirectlyPreferredSharesNonPubliclyIssuedByListedBankOrInsuranceCompanyWithoutTermsOnObligatoryConversionToCommonStockOrIssuedByListedNonBankingOrNonInsuranceCompanyAbstract,MR20-权益价格风险，公司直接持有的，上市公司中银行、保险机构非公开发行的不带强制转换为普通股条款的或者非银行、非保险机构非公开发行的优先股 [abstract],"MR20-Equity price risk, held by company directly, preferred shares non-publicly issued by listed bank or insurance company, without terms on obligatory conversion to common stock, or issued by listed non-banking or non-insurance company [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154251,c-ross,CounterpartyDefaultRiskCashAndLiquidityManagementInstrumentsAbstract,CR02-交易对手违约风险，现金及流动性管理工具 [abstract],"CR02-Counterparty default risk, cash and liquidity management instruments [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154252,c-ross,CounterpartyDefaultRiskFinancialBondsBaseRiskFactor,交易对手违约风险，金融债，基础因子,"Counterparty default risk, financial bonds, base risk factor",标准标签,xbrli:pureItemType,xbrli:item,,instant,FALSE,TRUE
154253,c-ross,CounterpartyDefaultRiskProjectAssetBackedPlansMinimumCapital,交易对手违约风险，项目资产支持计划，最低资本,"Counterparty default risk, project asset-backed plans, minimum capital",标准标签,xbrli:monetaryItemType,xbrli:item,,instant,FALSE,TRUE
154258,c-ross,LiquidityCoverageRatioTable,流动性覆盖率 [table],Liquidity coverage ratio [table],标准标签,xbrli:stringItemType,xbrldt:hypercubeItem,,duration,TRUE,TRUE
154262,c-ross,InterestRateRiskBondAssetsNoHedgingAndUnqualifiedHedgingGovernmentBondsHeldByCompanyDirectlyLineNumberAxis,利率风险，债券类资产（未套保及不符合条件的套保），公司直接持有的政府债，行次 [axis],"Interest rate risk, bond assets (no hedging and unqualified hedging), government bonds held by company directly, line number [axis]",标准标签,xbrli:stringItemType,xbrldt:dimensionItem,,duration,TRUE,TRUE
154271,c-ross,EquityPriceRiskAssetManagementProductsProductCode,权益价格风险，资产管理产品，产品代码,"Equity price risk, asset management products, product code",标准标签,xbrli:stringItemType,xbrli:item,,instant,FALSE,TRUE
154274,c-ross,LiquidityRiskContractualUndiscountedCashFlowsOfEquityInvestment,流动性风险，权益投资未折现的合同现金流量,"Liquidity risk, contractual undiscounted cash flows of equity investment",标准标签,xbrli:monetaryItemType,xbrli:item,debit,instant,FALSE,TRUE
154280,c-ross,CashFlowStressTestAbstract,现金流压力测试 [abstract],Cash flow stress test [abstract],标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154285,c-ross,LiquidityRiskProjectOnCashFlowsTaxesAndSurchargesPaid,流动性风险，现金流预测，支付的各项税费,"Liquidity risk, project on cash flows, taxes and surcharges paid",标准标签,xbrli:monetaryItemType,xbrli:item,credit,instant,FALSE,TRUE
154299,c-ross,ImprovementMeasuresToBeAdoptedAndTheirExpectedEffectIfFutureNetCashFlowsAreProjectedToBeLessThanZeroExplanatory,预计未来期间净现金流小于零时，拟采取的改善措施及预期效果 [text block],Improvement measures to be adopted and their expected effect if future net cash flows are projected to be less than zero [text block],标准标签,nonnum:textBlockItemType,xbrli:item,,duration,FALSE,TRUE
154301,c-ross,ExcludedTable,排除 [table],Excluded [table],标准标签,xbrli:stringItemType,xbrldt:hypercubeItem,,duration,TRUE,TRUE
154310,c-ross,LiquidityRiskAaaEnterpriseBonds,流动性风险，AAA级企业债,"Liquidity risk, AAA enterprise bonds",标准标签,xbrli:monetaryItemType,xbrli:item,debit,instant,FALSE,TRUE
154313,c-ross,SolvencyReportProfitabilityOfNewBusiness,偿付能力报告，新业务利润率,"Solvency report, profitability of new business",标准标签,num:percentItemType,xbrli:item,,duration,FALSE,TRUE
154322,c-ross,LiquidityRiskBookValueOfAssetSecuritizationProducts,流动性风险，资产证券化产品账面价值,"Liquidity risk, book value of asset securitization products",标准标签,xbrli:monetaryItemType,xbrli:item,debit,instant,FALSE,TRUE
154328,c-ross,SolvencyReportCombinedSurrenderRate,偿付能力报告，综合退保率,"Solvency report, combined surrender rate",标准标签,num:percentItemType,xbrli:item,,duration,FALSE,TRUE
154334,c-ross,CounterpartyDefaultRiskPremiumReceivableLineItems,交易对手违约风险，应收保费 [line items],"Counterparty default risk, premium receivable [line items]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
154337,c-ross,InterestRateRiskOfReinsuranceCompanyTable,再保险公司利率风险 [table],Interest rate risk of reinsurance company [table],标准标签,xbrli:stringItemType,xbrldt:hypercubeItem,,duration,TRUE,TRUE
154343,c-ross,LiquidityRiskProjectOnCashFlowsCashFlowsFromInForceBusinessOnReportingDateSurrenderPayment,流动性风险，现金流预测，报告日有效业务现金流，退保支出,"Liquidity risk, project on cash flows, cash flows from in-force business on reporting date, surrender payment",标准标签,xbrli:monetaryItemType,xbrli:item,credit,instant,FALSE,TRUE
